Date,Price
2017-02-07,1052.3766125
2017-02-08,976.1030000000001
2017-02-09,999.1034999999999
2017-02-10,1008.8466625
2017-02-11,1000.604625
2017-02-12,999.877375
2017-02-13,1011.78025
2017-02-14,1012.3259875
2017-02-15,1035.2081249999999
2017-02-16,1055.53685
2017-02-17,1056.6371374999999
2017-02-18,1052.7792857142856
2017-02-19,1084.7550125
2017-02-20,1123.7884285714285
2017-02-21,1123.2231875
2017-02-22,1172.01715
2017-02-23,1174.86625
2017-02-24,1150.6057142857142
2017-02-25,1175.0497500000001
2017-02-26,1190.75195
2017-02-27,1187.5652857142857
2017-02-28,1222.4994000000002
2017-03-01,1259.4108166666667
2017-03-02,1285.14
2017-03-03,1267.0272
2017-03-04,1270.9333
2017-03-05,1275.197375
2017-03-06,1238.4470000000001
2017-03-07,1157.3933
2017-03-08,1192.4691428571427
2017-03-09,1098.6171285714286
2017-03-10,1179.159875
2017-03-11,1227.494625
2017-03-12,1239.816225
2017-03-13,1245.3707857142856
2017-03-14,1257.399625
2017-03-15,1180.945657142857
2017-03-16,1091.1718875
2017-03-17,952.2323625
2017-03-18,1029.8008125000001
2017-03-19,1049.0844875
2017-03-20,1118.6300428571428
2017-03-21,1028.7268625
2017-03-22,1038.789
2017-03-23,941.9197142857143
2017-03-24,959.3400857142857
2017-03-25,956.7863125
2017-03-26,1037.2292499999999
2017-03-27,1046.127625
2017-03-28,1040.5755
2017-03-29,1037.90455
2017-03-30,1079.5493142857142
2017-03-31,1086.9295714285713
2017-04-01,1099.169125
2017-04-02,1141.813
2017-04-03,1141.6003625
2017-04-04,1133.0793142857142
2017-04-05,1196.3079375
2017-04-06,1190.45425
2017-04-07,1181.1498375
2017-04-08,1208.8005
2017-04-09,1207.744875
2017-04-10,1226.6170375
2017-04-11,1218.92205
2017-04-12,1180.0237125
2017-04-13,1185.2600571428572
2017-04-14,1184.8806714285713
2017-04-15,1186.9274125
2017-04-16,1205.634875
2017-04-17,1216.1867428571427
2017-04-18,1217.9300875
2017-04-19,1241.6863250000001
2017-04-20,1258.3614125
2017-04-21,1261.311225
2017-04-22,1257.9881125
2017-04-23,1262.902775
2017-04-24,1279.4146875000001
2017-04-25,1309.109875
2017-04-26,1345.3539125
2017-04-27,1331.2944285714286
2017-04-28,1334.9790375
2017-04-29,1353.0045
2017-04-30,1417.1728125
2017-05-01,1452.0762875
2017-05-02,1507.5768571428573
2017-05-03,1508.292125
2017-05-04,1533.3350714285714
2017-05-05,1560.4102
2017-05-06,1535.8684285714285
2017-05-07,1640.619225
2017-05-08,1721.2849714285715
2017-05-09,1762.88625
2017-05-10,1820.9905625
2017-05-11,1720.4785
2017-05-12,1771.9200125
2017-05-13,1776.3165
2017-05-14,1723.1269375
2017-05-15,1739.031975
2017-05-16,1807.4850625
2017-05-17,1899.0828875
2017-05-18,1961.5204875
2017-05-19,2052.9097875
2017-05-20,2046.5344625
2017-05-21,2090.6623125
2017-05-22,2287.7102875
2017-05-23,2379.1938333333333
2017-05-24,2387.2062857142855
2017-05-25,2211.976857142857
2017-05-26,2014.0529625
2017-05-27,2192.9808
2017-05-28,2275.9307
2017-05-29,2239.2053428571426
2017-05-30,2285.9339142857143
2017-05-31,2399.2426714285716
2017-06-01,2446.142414285714
2017-06-02,2525.7651584699997
2017-06-03,2516.173142857143
2017-06-04,2698.3138125
2017-06-05,2883.3136966371426
2017-06-06,2664.9208625
2017-06-07,2792.9991875
2017-06-08,2827.4913
2017-06-09,2845.3728571428574
2017-06-10,2961.8296124999997
2017-06-11,2657.6750625
2017-06-12,2748.185085714286
2017-06-13,2447.0415625
2017-06-14,2442.48025
2017-06-15,2464.9598142857144
2017-06-16,2665.927
2017-06-17,2507.389252144286
2017-06-18,2617.2102625
2017-06-19,2754.97825
2017-06-20,2671.04325
2017-06-21,2727.2880125
2017-06-22,2710.4122857142856
