Date,volume
2016-07-01,45483640.65408339
2016-07-02,57134569.798589006
2016-07-03,33361880.20755163
2016-07-04,31161665.02804933
2016-07-05,27360174.458261672
2016-07-06,93994828.71333286
2016-07-07,46643049.376544565
2016-07-08,78574448.68600912
2016-07-09,28357316.102029968
2016-07-10,26402272.48181793
2016-07-11,48343367.13486464
2016-07-12,53026862.77232912
2016-07-13,34318017.313809544
2016-07-14,26928546.839285374
2016-07-15,13030366.55815039
2016-07-16,26346610.596016515
2016-07-17,30616321.58581428
2016-07-18,18855335.642488822
2016-07-19,21835386.17013677
2016-07-20,19396531.87257841
2016-07-21,36015630.8103621
2016-07-22,22033362.322805755
2016-07-23,23219394.381669026
2016-07-24,22293453.09391153
2016-07-25,30492846.559064753
2016-07-26,27438393.389753077
2016-07-27,16449698.25465171
2016-07-28,16612345.86951323
2016-07-29,11399491.459813222
2016-07-30,38521947.408930235
2016-07-31,39937694.381306626
2016-08-01,57403494.653400615
2016-08-02,48103787.928474
2016-08-03,24001987.504158802
2016-08-04,16566325.510409888
2016-08-05,24272426.916998588
2016-08-06,20475426.290076792
2016-08-07,15361103.591248045
2016-08-08,15780612.333715733
2016-08-09,34991566.079817295
2016-08-10,26073725.34358144
2016-08-11,15437752.076322343
2016-08-12,11882577.720661648
2016-08-13,15817470.274456559
2016-08-14,19039255.2066699
2016-08-15,20633789.33174016
2016-08-16,21788909.85149328
2016-08-17,24259885.20552654
2016-08-18,15567926.13549017
2016-08-19,16537121.829441033
2016-08-20,15404607.043007113
2016-08-21,19463587.599394135
2016-08-22,19520117.274630975
2016-08-23,17189751.05217095
2016-08-24,18023876.408600245
2016-08-25,12305907.424314784
2016-08-26,11038371.152134756
2016-08-27,6969155.035667743
2016-08-28,13006720.339841172
2016-08-29,15352375.32494796
2016-08-30,15333990.49557455
2016-08-31,14999479.54839048
2016-09-01,15043105.566588867
2016-09-02,40400922.254320584
2016-09-03,22587938.84044743
2016-09-04,22519218.62528109
2016-09-05,14155539.592708783
2016-09-06,16922951.237458926
2016-09-07,21304907.482636098
2016-09-08,16550749.952060752
2016-09-09,13826608.287564546
2016-09-10,19748109.564706508
2016-09-11,24913919.868142404
2016-09-12,32818905.112867605
2016-09-13,15168677.680112895
2016-09-14,11891587.395277543
2016-09-15,12836700.34517858
2016-09-16,8953094.94796302
2016-09-17,9289978.563723823
2016-09-18,12354975.676953206
2016-09-19,13349846.124487473
2016-09-20,20607535.0871256
2016-09-21,12923838.334123792
2016-09-22,12358708.783064608
2016-09-23,6905876.288540798
2016-09-24,6562797.42036544
2016-09-25,14621404.89753159
2016-09-26,12980365.428437835
2016-09-27,9494530.323366642
2016-09-28,12937983.999938054
2016-09-29,12885196.887565492
2016-09-30,7094655.178531651
2016-10-01,9087020.024980566
2016-10-02,11646426.405317659
2016-10-03,12709516.175455404
2016-10-04,11326509.250925671
2016-10-05,10859575.08725039
2016-10-06,15826419.301559234
2016-10-07,7779460.198927116
2016-10-08,6954834.42997824
2016-10-09,13372142.533441262
2016-10-10,29027519.158250164
2016-10-11,14634705.609575948
2016-10-12,14355952.057363158
2016-10-13,12472092.762440188
2016-10-14,6525990.941338596
2016-10-15,6985758.748221971
2016-10-16,15611329.769091038
2016-10-17,14579936.517712481
2016-10-18,20346645.90277418
2016-10-19,12216884.504326392
2016-10-20,16705327.889886469
2016-10-21,22686988.344559554
2016-10-22,11562593.899480939
2016-10-23,17690445.870382972
2016-10-24,23862151.32722688
2016-10-25,32748237.896114662
2016-10-26,26863753.64907469
2016-10-27,22221917.84139443
2016-10-28,29728643.80123049
2016-10-29,21222263.792321637
2016-10-30,23116856.38100145
2016-10-31,41882993.08351015
2016-11-01,24177015.544394836
2016-11-02,56296677.021922745
2016-11-03,29358873.293267153
2016-11-04,14017411.023604922
2016-11-05,15385463.926390963
2016-11-06,13568019.080829352
2016-11-07,21720391.236468986
2016-11-08,40308934.74436853
2016-11-09,18345512.554665778
2016-11-10,14008613.891748253
2016-11-11,13568553.688843166
